ID,Authors,Year,Journal,Title,Abstract,Keywords,Decision,Terms for NO,Terms for P No,Terms for P Yes,Terms for YES,Extra note
179,Pawloski,2017,Journal of the American Medical Informatics Association : JAMIA,Predicting neutropenia risk in patients with cancer using electronic data,"Objectives: Clinical guidelines recommending the use of myeloid growth factors are largely based on the prescribed chemotherapy regimen. The guidelines suggest that oncologists consider patient-specific characteristics when prescribing granulocyte-colony stimulating factor (G-CSF) prophylaxis; however, a mechanism to quantify individual patient risk is lacking. Readily available electronic health record (EHR) data can provide patient-specific information needed for individualized neutropenia risk estimation. An evidence-based, individualized neutropenia risk estimation algorithm has been developed. This study evaluated the automated extraction of EHR chemotherapy treatment data and externally validated the neutropenia risk prediction model. Materials and Methods: A retrospective cohort of adult patients with newly diagnosed breast, colorectal, lung, lymphoid, or ovarian cancer who received the first cycle of a cytotoxic chemotherapy regimen from 2008 to 2013 were recruited from a single cancer clinic. Electronically extracted EHR chemotherapy treatment data were validated by chart review. Neutropenia risk stratification was conducted and risk model performance was assessed using calibration and discrimination. Results: Chemotherapy treatment data electronically extracted from the EHR were verified by chart review. The neutropenia risk prediction tool classified 126 patients (57%) as being low risk for febrile neutropenia, 44 (20%) as intermediate risk, and 51 (23%) as high risk. The model was well calibrated (Hosmer-Lemeshow goodness-of-fit test = 0.24). Discrimination was adequate and slightly less than in the original internal validation (c-statistic 0.75 vs 0.81). Conclusion: Chemotherapy treatment data were electronically extracted from the EHR successfully. The individualized neutropenia risk prediction model performed well in our retrospective external cohort.", Aged; *Algorithms; Antineoplastic Combined Chemotherapy Protocols/*adverse effects; *Electronic Health Records; Female; Granulocyte Colony-Stimulating Factor/therapeutic use; Humans; Information Storage and Retrieval; Logistic Models; Male; Middle Aged; Neoplasms/*complications/drug therapy; Neutropenia/*chemically induced; ROC Curve; Retrospective Studies; Risk Assessment/*methods; chemotherapy; clinical decision support systems; computer-based decision support; febrile neutropenia; granulocyte-colony stimulating factor; risk model,-2,,,,,
180,Cristea,2016,PloS one,The Effectiveness of Cognitive Bias Modification Interventions for Substance Addictions: A Meta-Analysis,"BACKGROUND AND AIMS: Cognitive bias modification (CBM) interventions, presumably targeting automatic processes, are considered particularly promising for addictions. We conducted a meta-analysis examining randomized controlled trials (RCTs) of CBM for substance addiction outcomes. METHODS: Studies were identified through systematic searches in bibliographical databases. We included RCTs of CBM interventions, alone or in combination with other treatments, for any type of addiction. We examined trial risk of bias, publication bias and possible moderators. Effects sizes were computed for post-test and follow-up, using a random-effects model. We grouped outcome measures and reported results for addiction (all related measures), craving and cognitive bias. RESULTS: We identified 25 trials, 18 for alcohol problems, and 7 for smoking. At post-test, there was no significant effect of CBM for addiction, g = 0.08 (95% CI -0.02 to 0.18) or craving, g = 0.05 (95% CI -0.06 to 0.16), but there was a significant, moderate effect on cognitive bias, g = 0.60 (95% CI 0.39 to 0.79). Results were similar for alcohol and smoking outcomes taken separately. Follow-up addiction outcomes were reported in 7 trials, resulting in a small but significant effect of CBM, g = 0.18 (95% CI 0.03 to 0.32). Results for addiction and craving did not differ by substance type, sample type, delivery setting, bias targeted or number of sessions. Risk of bias was high or uncertain in most trials, for most criteria considered. Meta-regression analyses revealed significant inverse relationships between risk of bias and effect sizes for addiction outcomes and craving. The relationship between cognitive bias and respectively addiction ESs was not significant. There was consistent evidence of publication bias in the form of funnel plot asymmetry. CONCLUSIONS: Our results cast serious doubts on the clinical utility of CBM interventions for addiction problems, but sounder methodological trials are necessary before this issue can be settled. We found no indication that positive effects on biases translate into effects on addiction outcomes.", Bias; *Cognitive Behavioral Therapy; Female; Humans; Male; Outcome Assessment (Health Care); Substance-Related Disorders/*therapy,-2,,,,,
181,Brown,2017,Journal of the American Medical Informatics Association : JAMIA,A systematic review of the types and causes of prescribing errors generated from using computerized provider order entry systems in primary and secondary care,"Objective: To understand the different types and causes of prescribing errors associated with computerized provider order entry (CPOE) systems, and recommend improvements in these systems. Materials and Methods: We conducted a systematic review of the literature published between January 2004 and June 2015 using three large databases: the Cumulative Index to Nursing and Allied Health Literature, Embase, and Medline. Studies that reported qualitative data about the types and causes of these errors were included. A narrative synthesis of all eligible studies was undertaken. Results: A total of 1185 publications were identified, of which 34 were included in the review. We identified 8 key themes associated with CPOE-related prescribing errors: computer screen display, drop-down menus and auto-population, wording, default settings, nonintuitive or inflexible ordering, repeat prescriptions and automated processes, users' work processes, and clinical decision support systems. Displaying an incomplete list of a patient's medications on the computer screen often contributed to prescribing errors. Lack of system flexibility resulted in users employing error-prone workarounds, such as the addition of contradictory free-text comments. Users' misinterpretations of how text was presented in CPOE systems were also linked with the occurrence of prescribing errors. Discussion and Conclusions: Human factors design is important to reduce error rates. Drop-down menus should be designed with safeguards to decrease the likelihood of selection errors. Development of more sophisticated clinical decision support, which can perform checks on free-text, may also prevent errors. Further research is needed to ensure that systems minimize error likelihood and meet users' workflow expectations.", Drug Prescriptions; Ergonomics; Humans; *Medical Order Entry Systems; *Medication Errors/prevention & control; alerts; clinical decision support; computerized provider order entry; decision-making; medication errors; patient safety,-2,Provider order entry systems ,,,,
182,Varghese,2016,Studies in health technology and informatics,Key Data Elements in Myeloid Leukemia,"Data standards consisting of key data elements for clinical routine and trial documentation harmonize documentation within and across different health care institutions making documentation more efficient and improving scientific data analysis. This work focusses on the field of myeloid leukemia (ML), where a semantic core of common data elements (CDEs) in routine and trial documentation is established by automatic UMLS-based form analysis of existing documentation models. These CDEs (n = 227) were initially reviewed and commented by leukemia experts before they were systematically surveyed by an international voting process through seven hematologists of four countries. The total agreement score was 86%. 116 elements (51%) of these share an agreement score of 100%. This work generated CDEs with language-independent semantic codes and international clinical expert review to build a first approach towards an international data standard for ML. A first version of the CDE list is implemented in the data standard Operational Data Model and additional other data formats for reuse in different medical information systems."," Clinical Trials as Topic; Data Collection; Documentation/*standards; Humans; *Leukemia, Myeloid; Semantics",1,,,UMLS,,
183,Chen,2017,Journal of the American Medical Informatics Association : JAMIA,Identifying collaborative care teams through electronic medical record utilization patterns,"Objective: The goal of this investigation was to determine whether automated approaches can learn patient-oriented care teams via utilization of an electronic medical record (EMR) system. Materials and Methods: To perform this investigation, we designed a data-mining framework that relies on a combination of latent topic modeling and network analysis to infer patterns of collaborative teams. We applied the framework to the EMR utilization records of over 10 000 employees and 17 000 inpatients at a large academic medical center during a 4-month window in 2010. Next, we conducted an extrinsic evaluation of the patterns to determine the plausibility of the inferred care teams via surveys with knowledgeable experts. Finally, we conducted an intrinsic evaluation to contextualize each team in terms of collaboration strength (via a cluster coefficient) and clinical credibility (via associations between teams and patient comorbidities). Results: The framework discovered 34 collaborative care teams, 27 (79.4%) of which were confirmed as administratively plausible. Of those, 26 teams depicted strong collaborations, with a cluster coefficient > 0.5. There were 119 diagnostic conditions associated with 34 care teams. Additionally, to provide clarity on how the survey respondents arrived at their determinations, we worked with several oncologists to develop an illustrative example of how a certain team functions in cancer care. Discussion: Inferred collaborative teams are plausible; translating such patterns into optimized collaborative care will require administrative review and integration with management practices. Conclusions: EMR utilization records can be mined for collaborative care patterns in large complex medical centers.", Cooperative Behavior; *Data Mining; Electronic Health Records/*statistics & numerical data; Humans; Interprofessional Relations; *Patient Care Team; Patient-Centered Care; collaborative networks; data mining; electronic medical records; health care organization modeling,-2,,Electronic medical record,,,
184,Shemilt,2016,Systematic reviews,Use of cost-effectiveness analysis to compare the efficiency of study identification methods in systematic reviews,"BACKGROUND: Meta-research studies investigating methods, systems, and processes designed to improve the efficiency of systematic review workflows can contribute to building an evidence base that can help to increase value and reduce waste in research. This study demonstrates the use of an economic evaluation framework to compare the costs and effects of four variant approaches to identifying eligible studies for consideration in systematic reviews. METHODS: A cost-effectiveness analysis was conducted using a basic decision-analytic model, to compare the relative efficiency of 'safety first', 'double screening', 'single screening' and 'single screening with text mining' approaches in the title-abstract screening stage of a 'case study' systematic review about undergraduate medical education in UK general practice settings. Incremental cost-effectiveness ratios (ICERs) were calculated as the 'incremental cost per citation 'saved' from inappropriate exclusion' from the review. Resource use and effect parameters were estimated based on retrospective analysis of 'review process' meta-data curated alongside the 'case study' review, in conjunction with retrospective simulation studies to model the integrated use of text mining. Unit cost parameters were estimated based on the 'case study' review's project budget. A base case analysis was conducted, with deterministic sensitivity analyses to investigate the impact of variations in values of key parameters. RESULTS: Use of 'single screening with text mining' would have resulted in title-abstract screening workload reductions (base case analysis) of >60 % compared with other approaches. Across modelled scenarios, the 'safety first' approach was, consistently, equally effective and less costly than conventional 'double screening'. Compared with 'single screening with text mining', estimated ICERs for the two non-dominated approaches (base case analyses) ranged from pound1975 ('single screening' without a 'provisionally included' code) to pound4427 ('safety first' with a 'provisionally included' code) per citation 'saved'. Patterns of results were consistent between base case and sensitivity analyses. CONCLUSIONS: Alternatives to the conventional 'double screening' approach, integrating text mining, warrant further consideration as potentially more efficient approaches to identifying eligible studies for systematic reviews. Comparable economic evaluations conducted using other systematic review datasets are needed to determine the generalisability of these findings and to build an evidence base to inform guidance for review authors.", *Cost-Benefit Analysis; Data Mining/*methods; Humans; Patient Safety; *Research Design,1,,,"Study identification, Screening",,
185,Meghji,2016,PloS one,A Systematic Review of the Prevalence and Pattern of Imaging Defined Post-TB Lung Disease,"BACKGROUND: Tuberculosis is an important risk factor for chronic respiratory disease in resource poor settings. The persistence of abnormal spirometry and symptoms after treatment are well described, but the structural abnormalities underlying these changes remain poorly defined, limiting our ability to phenotype post-TB lung disease in to meaningful categories for clinical management, prognostication, and ongoing research. The relationship between post-TB lung damage and patient-centred outcomes including functional impairment, respiratory symptoms, and health related quality of life also remains unclear. METHODS: We performed a systematic literature review to determine the prevalence and pattern of imaging-defined lung pathology in adults after medical treatment for pleural, miliary, or pulmonary TB disease. Data were collected on study characteristics, and the modality, timing, and findings of thoracic imaging. The proportion of studies relating imaging findings to spirometry results and patient morbidity was recorded. Study quality was assessed using a modified Newcastle-Ottowa score. (Prospero Registration number CRD42015027958). RESULTS: We identified 37 eligible studies. The principle features seen on CXR were cavitation (8.3-83.7%), bronchiectasis (4.3-11.2%), and fibrosis (25.0-70.4%), but prevalence was highly variable. CT imaging identified a wider range of residual abnormalities than CXR, including nodules (25.0-55.8%), consolidation (3.7-19.2%), and emphysema (15.0-45.0%). The prevalence of cavitation was generally lower (7.4-34.6%) and bronchiectasis higher (35.0-86.0%) on CT vs. CXR imaging. A paucity of prospective data, and data from HIV-infected adults and sub-Saharan Africa (sSA) was noted. Few studies related structural damage to physiological impairment, respiratory symptoms, or patient morbidity. CONCLUSIONS: Post-TB structural lung pathology is common. Prospective data are required to determine the evolution of this lung damage and its associated morbidity over time. Further data are required from HIV-infected groups and those living in sSA."," Humans; Image Processing, Computer-Assisted/*methods; Pattern Recognition, Automated/*methods; Prevalence; Tomography, X-Ray Computed/*methods; Tuberculosis, Pulmonary/*diagnostic imaging/*epidemiology/pathology; United Kingdom/epidemiology",-2,,,,,
186,Lyell,2017,Journal of the American Medical Informatics Association : JAMIA,Automation bias and verification complexity: a systematic review,"Introduction: While potentially reducing decision errors, decision support systems can introduce new types of errors. Automation bias (AB) happens when users become overreliant on decision support, which reduces vigilance in information seeking and processing. Most research originates from the human factors literature, where the prevailing view is that AB occurs only in multitasking environments. Objectives: This review seeks to compare the human factors and health care literature, focusing on the apparent association of AB with multitasking and task complexity. Data sources: EMBASE, Medline, Compendex, Inspec, IEEE Xplore, Scopus, Web of Science, PsycINFO, and Business Source Premiere from 1983 to 2015. Study selection: Evaluation studies where task execution was assisted by automation and resulted in errors were included. Participants needed to be able to verify automation correctness and perform the task manually. Methods: Tasks were identified and grouped. Task and automation type and presence of multitasking were noted. Each task was rated for its verification complexity. Results: Of 890 papers identified, 40 met the inclusion criteria; 6 were in health care. Contrary to the prevailing human factors view, AB was found in single tasks, typically involving diagnosis rather than monitoring, and with high verification complexity. Limitations: The literature is fragmented, with large discrepancies in how AB is reported. Few studies reported the statistical significance of AB compared to a control condition. Conclusion: AB appears to be associated with the degree of cognitive load experienced in decision tasks, and appears to not be uniquely associated with multitasking. Strategies to minimize AB might focus on cognitive load reduction."," *Attitude to Computers; Automation; Bias; *Decision Support Systems, Clinical; Humans; clinical cognitive biases; complexity; decision support systems",-2,,,,,
187,Richesson,2016,Artificial intelligence in medicine,"Clinical phenotyping in selected national networks: demonstrating the need for high-throughput, portable, and computational methods","OBJECTIVE: The combination of phenomic data from electronic health records (EHR) and clinical data repositories with dense biological data has enabled genomic and pharmacogenomic discovery, a first step toward precision medicine. Computational methods for the identification of clinical phenotypes from EHR data will advance our understanding of disease risk and drug response, and support the practice of precision medicine on a national scale. METHODS: Based on our experience within three national research networks, we summarize the broad approaches to clinical phenotyping and highlight the important role of these networks in the progression of high-throughput phenotyping and precision medicine. We provide supporting literature in the form of a non-systematic review. RESULTS: The practice of clinical phenotyping is evolving to meet the growing demand for scalable, portable, and data driven methods and tools. The resources required for traditional phenotyping algorithms from expert defined rules are significant. In contrast, machine learning approaches that rely on data patterns will require fewer clinical domain experts and resources. CONCLUSIONS: Machine learning approaches that generate phenotype definitions from patient features and clinical profiles will result in truly computational phenotypes, derived from data rather than experts. Research networks and phenotype developers should cooperate to develop methods, collaboration platforms, and data standards that will enable computational phenotyping and truly modernize biomedical research and precision medicine.", *Algorithms; *Electronic Health Records; Genomics; Humans; *Machine Learning; *Phenotype; *Precision Medicine; *Clinical phenotyping; *Networked research,-2,,,,,
188,Alberdi,2016,Artificial intelligence in medicine,On the early diagnosis of Alzheimer's Disease from multimodal signals: A survey,"INTRODUCTION: The number of Alzheimer's Disease (AD) patients is increasing with increased life expectancy and 115.4 million people are expected to be affected in 2050. Unfortunately, AD is commonly diagnosed too late, when irreversible damages have been caused in the patient. OBJECTIVE: An automatic, continuous and unobtrusive early AD detection method would be required to improve patients' life quality and avoid big healthcare costs. Thus, the objective of this survey is to review the multimodal signals that could be used in the development of such a system, emphasizing on the accuracy that they have shown up to date for AD detection. Some useful tools and specific issues towards this goal will also have to be reviewed. METHODS: An extensive literature review was performed following a specific search strategy, inclusion criteria, data extraction and quality assessment in the Inspec, Compendex and PubMed databases. RESULTS: This work reviews the extensive list of psychological, physiological, behavioural and cognitive measurements that could be used for AD detection. The most promising measurements seem to be magnetic resonance imaging (MRI) for AD vs control (CTL) discrimination with an 98.95% accuracy, while electroencephalogram (EEG) shows the best results for mild cognitive impairment (MCI) vs CTL (97.88%) and MCI vs AD distinction (94.05%). Available physiological and behavioural AD datasets are listed, as well as medical imaging analysis steps and neuroimaging processing toolboxes. Some issues such as ""label noise"" and multi-site data are discussed. CONCLUSIONS: The development of an unobtrusive and transparent AD detection system should be based on a multimodal system in order to take full advantage of all kinds of symptoms, detect even the smallest changes and combine them, so as to detect AD as early as possible. Such a multimodal system might probably be based on physiological monitoring of MRI or EEG, as well as behavioural measurements like the ones proposed along the article. The mentioned AD datasets and image processing toolboxes are available for their use towards this goal. Issues like ""label noise"" and multi-site neuroimaging incompatibilities may also have to be overcome, but methods for this purpose are already available."," Alzheimer Disease/*diagnosis; *Early Diagnosis; Humans; *Image Processing, Computer-Assisted; Magnetic Resonance Imaging; *Alzheimer's Disease; *Behaviour; *Early detection; *Multimodality; *Physiology",-2,,,,,
189,Roberts,2017,Journal of the American Medical Informatics Association : JAMIA,Biomedical informatics advancing the national health agenda: the AMIA 2015 year-in-review in clinical and consumer informatics,"The field of biomedical informatics experienced a productive 2015 in terms of research. In order to highlight the accomplishments of that research, elicit trends, and identify shortcomings at a macro level, a 19-person team conducted an extensive review of the literature in clinical and consumer informatics. The result of this process included a year-in-review presentation at the American Medical Informatics Association Annual Symposium and a written report (see supplemental data). Key findings are detailed in the report and summarized here. This article organizes the clinical and consumer health informatics research from 2015 under 3 themes: the electronic health record (EHR), the learning health system (LHS), and consumer engagement. Key findings include the following: (1) There are significant advances in establishing policies for EHR feature implementation, but increased interoperability is necessary for these to gain traction. (2) Decision support systems improve practice behaviors, but evidence of their impact on clinical outcomes is still lacking. (3) Progress in natural language processing (NLP) suggests that we are approaching but have not yet achieved truly interactive NLP systems. (4) Prediction models are becoming more robust but remain hampered by the lack of interoperable clinical data records. (5) Consumers can and will use mobile applications for improved engagement, yet EHR integration remains elusive."," *Consumer Health Informatics; Humans; Meaningful Use; *Medical Informatics; Patient Participation; Public Health Informatics; Societies, Medical; United States; biomedical informatics; consumer engagement; electronic health records; learning health system; year in review",-2,,,,,
190,David,2016,PloS one,Comorbid Analysis of Genes Associated with Autism Spectrum Disorders Reveals Differential Evolutionary Constraints,"The burden of comorbidity in Autism Spectrum Disorder (ASD) is substantial. The symptoms of autism overlap with many other human conditions, reflecting common molecular pathologies suggesting that cross-disorder analysis will help prioritize autism gene candidates. Genes in the intersection between autism and related conditions may represent nonspecific indicators of dysregulation while genes unique to autism may play a more causal role. Thorough literature review allowed us to extract 125 ICD-9 codes comorbid to ASD that we mapped to 30 specific human disorders. In the present work, we performed an automated extraction of genes associated with ASD and its comorbid disorders, and found 1031 genes involved in ASD, among which 262 are involved in ASD only, with the remaining 779 involved in ASD and at least one comorbid disorder. A pathway analysis revealed 13 pathways not involved in any other comorbid disorders and therefore unique to ASD, all associated with basal cellular functions. These pathways differ from the pathways associated with both ASD and its comorbid conditions, with the latter being more specific to neural function. To determine whether the sequence of these genes have been subjected to differential evolutionary constraints, we studied long term constraints by looking into Genomic Evolutionary Rate Profiling, and showed that genes involved in several comorbid disorders seem to have undergone more purifying selection than the genes involved in ASD only. This result was corroborated by a higher dN/dS ratio for genes unique to ASD as compare to those that are shared between ASD and its comorbid disorders. Short-term evolutionary constraints showed the same trend as the pN/pS ratio indicates that genes unique to ASD were under significantly less evolutionary constraint than the genes associated with all other disorders."," Autism Spectrum Disorder/*complications/*genetics; Cluster Analysis; Databases, Genetic; Humans; International Classification of Diseases",-2,,,,,
191,Reed,2016,Systematic reviews,The HCV care continuum among people who use drugs: protocol for a systematic review and meta-analysis,"INTRODUCTION: The diagnosis, management, and treatment for hepatitis C virus (HCV) infection (the ""HCV care continuum"") have improved in recent years. People who use drugs (PWUD) have a prevalence of HCV infection from 30 to 70 %, yet rates of testing, engagement in care, and treatment for HCV are disproportionately low compared to other populations. Delineating the progression of PWUD through the steps in the HCV care continuum in the USA is important in informing efforts to improve HCV outcomes among PWUD. METHODS/DESIGN: Scientific databases will be searched using a comprehensive automated search strategy; gray literature and reference lists will be manually searched. Eligible reports will provide original research data related to the HCV care continuum in the USA including proportions of PWUD engaging in the following discrete steps: screening/testing, engagement in care (including receiving an HCV clinical assessment), treatment initiation and completion, and rates of those with successful HCV treatment. A quality-rating tool will be developed to ascertain the level of bias (including selection bias) in each report, and a quality score will be assigned to each eligible report. A tool adapted from the Pragmatic Explanatory Continuum Indicator Summary-2 instrument will be developed to assess the extent to which an included report reflects an effectiveness or efficacy study design. Pooled estimates and measures of association will be calculated using random effects models, and heterogeneity will be assessed at each stage of data synthesis. DISCUSSION: Through this review, we hope to quantify the proportion of PWUD at each progressive step and to help identify key individual, social, and structural points of leakage in the HCV care continuum for PWUD. In meeting these objectives, we will identify predictors to progress along the HCV care continuum, which can be used to inform policy to directly improve HCV care for PWUD. SYSTEMATIC REVIEW REGISTRATION: PROSPERO CRD42016034113.", *Continuity of Patient Care; *Drug Users; Health Services Accessibility; *Hepacivirus; Hepatitis C/etiology/*therapy/virology; Humans; Research Design; Substance-Related Disorders/*complications; Systematic Reviews as Topic; *Healthcare access; *Hepatitis c; *Hepatitis c care continuum; *Meta-analysis; *People who use drugs; *Systematic review,-2,,,,,
192,Wang,2017,Journal of the American Medical Informatics Association : JAMIA,Use of electronic healthcare records to identify complex patients with atrial fibrillation for targeted intervention,"Background: Practice guidelines recommend anticoagulation therapy for patients with atrial fibrillation (AF) who have other risk factors putting them at an elevated risk of stroke. These patients remain undertreated, but, with increasing use of electronic healthcare records (EHRs), it may be possible to identify candidates for treatment. Objective: To test algorithms for identifying AF patients who also have known risk factors for stroke and major bleeding using EHR data. Materials and Methods: We evaluated the performance of algorithms using EHR data from the Partners Healthcare System at identifying AF patients and 16 additional conditions that are risk factors in the CHA 2 DS 2 -VASc and HAS-BLED risk scores for stroke and major bleeding. Algorithms were based on information contained in problem lists, billing codes, laboratory data, prescription data, vital status, and clinical notes. The performance of candidate algorithms in 1000 bootstrap resamples was compared to a gold standard of manual chart review by experienced resident physicians. Results: : Physicians reviewed 480 patient charts. For 11 conditions, the median positive predictive value (PPV) of the EHR-derived algorithms was greater than 0.90. Although the PPV for some risk factors was poor, the median PPV for identifying patients with a CHA 2 DS 2 -VASc score >/=2 or a HAS-BLED score >/=3 was 1.00 and 0.92, respectively. Discussion: We developed and tested a set of algorithms to identify AF patients and known risk factors for stroke and major bleeding using EHR data. Algorithms such as these can be built into EHR systems to facilitate informed decision making and help shift population health management efforts towards patients with the greatest need.", *Algorithms; Anticoagulants/adverse effects/therapeutic use; Atrial Fibrillation/complications/*diagnosis/drug therapy; *Electronic Health Records; Hemorrhage/etiology; Humans; Natural Language Processing; Risk Assessment/methods; Risk Factors; Stroke/etiology; algorithms; anticoagulation; chronic disease; outcomes; quality improvement; stroke,-2,,,,,
193,Tsoromokos,2016,Studies in health technology and informatics,Design of an Innovative Information System for the Intensive Care Unit in a Public Hospital,"The health sector is increasingly focused on the use of Communication Technology (ICT) Information and Communication. New technologies which introduced in health, should lead to lower cost of procedures, saving employees' working time and immediate and secure data storages for easy future search or meta-analysis. The DPP4ICU application which presented in this document, allows at the Intensive Care Unit's nurses (ICU) to enter directly the handwritten accountability, in the Organization Information System. Through this application is accelerated the proper completion of a document and is improved data quality. The application provides the ability to authorized users to exchange information with an automated manner."," Communication; Documentation/*methods; *Handwriting; Hospitals, Public/organization & administration; Humans; Information Systems/*organization & administration; Intensive Care Units/*organization & administration; *Nursing Staff, Hospital; Software Design",-2,,,,,
194,Carter,2016,Studies in health technology and informatics,Finding 'Evidence of Absence' in Medical Notes: Using NLP for Clinical Inferencing,"Extracting evidence of the absence of a target of interest from medical text can be useful in clinical inferencing. The purpose of our study was to develop a natural language processing (NLP) pipelineto identify the presence of indwelling urinary catheters from electronic medical notes to aid in detection of catheter-associated urinary tract infections (CAUTI). Finding clear evidence that a patient does not have an indwelling urinary catheter is useful in making a determination regarding CAUTI. We developed a lexicon of seven core concepts to infer the absence of a urinary catheter. Of the 990,391 concepts extractedby NLP from a large corpus of 744,285 electronic medical notes from 5589 hospitalized patients, 63,516 were labeled as evidence of absence.Human review revealed three primary causes for false negatives. The lexicon and NLP pipeline were refined using this information, resulting in outputs with an acceptable false positive rate of 11%.", Catheter-Related Infections/*diagnosis; Diagnostic Errors; Documentation/*statistics & numerical data; Electronic Health Records/*statistics & numerical data; Humans; Inpatients; *Natural Language Processing; Urinary Catheters/*adverse effects,-2,,,,,
195,Topaz,2016,Studies in health technology and informatics,Mining Clinicians' Electronic Documentation to Identify Heart Failure Patients with Ineffective Self-Management: A Pilot Text-Mining Study,"Effective self-management can decrease up to 50% of heart failure hospitalizations. Unfortunately, self-management by patients with heart failure remains poor. This pilot study aimed to explore the use of text-mining to identify heart failure patients with ineffective self-management. We first built a comprehensive self-management vocabulary based on the literature and clinical notes review. We then randomly selected 545 heart failure patients treated within Partners Healthcare hospitals (Boston, MA, USA) and conducted a regular expression search with the compiled vocabulary within 43,107 interdisciplinary clinical notes of these patients. We found that 38.2% (n = 208) patients had documentation of ineffective heart failure self-management in the domains of poor diet adherence (28.4%), missed medical encounters (26.4%) poor medication adherence (20.2%) and non-specified self-management issues (e.g., ""compliance issues"", 34.6%). We showed the feasibility of using text-mining to identify patients with ineffective self-management. More natural language processing algorithms are needed to help busy clinicians identify these patients."," Boston/epidemiology; *Data Mining; Electronic Health Records/classification/*statistics & numerical data; Heart Failure/*diagnosis/epidemiology/*therapy; Humans; Natural Language Processing; Outcome Assessment (Health Care)/*methods; Patient Compliance/*statistics & numerical data; Pilot Projects; Prevalence; Reproducibility of Results; Risk Assessment; Self Care; Sensitivity and Specificity; Terminology as Topic; Treatment Failure; Treatment Outcome; Vocabulary, Controlled",-2,,,,,
196,Yu,2016,Studies in health technology and informatics,Development and Appraisal of Multiple Accounting Record System (Mars),"UNLABELLED: The aim of the system is to achieve simplification of workflow, reduction of recording time, and increase the income for the study hospital. METHODS: The project team decided to develop a multiple accounting record system that generates the account records based on the nursing records automatically, reduces the time and effort for nurses to review the procedure and provide another note of material consumption. Three configuration files were identified to demonstrate the relationship of treatments and reimbursement items. RESULTS: The workflow was simplified. The nurses averagely reduced 10 minutes of daily recording time, and the reimbursement points have been increased by 7.49%. CONCLUSION: The project streamlined the workflow and provides the institute a better way in finical management."," *Accounts Payable and Receivable; Economics, Nursing/*organization & administration; Electronic Health Records/*economics; Financial Management, Hospital/*organization & administration; Health Care Costs/*statistics & numerical data; Hospital Information Systems/organization & administration; Management Information Systems/*economics; Taiwan",-2,,,,,
197,Millar,2016,Studies in health technology and informatics,The Need for a Global Language - SNOMED CT Introduction,"SNOMED CT is the most comprehensive, multilingual clinical healthcare terminology in the world. It is a resource with comprehensive, scientifically validated clinical content. SNOMED CT enables consistent, processable representation of clinical content in electronic health records. When implemented in software applicationsSNOMED CT can be used to represent clinically relevant information consistently, reliabl comprehensively as an integral part of producing electronic health information. SNOMED CT supports the development of comprehensive high-quality clinical content in health records. It provides a standardized way to represent clinical phrases captured by the healthcare professional and enables automatic interpretation of these. SNOMED CT is a clinically validated, semantically rich, controlled vocabulary that facilitates evolutionary growth in expressivity to meet emerging requirements. SNOMED CT based clinical information benefits individual patients and clinicians as well as populations and it supports evidence based care. The use of an Electronic Health Record (EHR) improves communication and increases the availability of relevant information. IHTSDO works with other standards oganisations to ensure interoperability and a key area has been the work with ICN to enable the use of ICNP and SNOMED CT by the nursing profession internationally.", Electronic Health Records/*standards; Guideline Adherence/standards; Information Storage and Retrieval/*standards; Meaningful Use/standards; Medical Record Linkage/standards; Nursing Records/*standards; *Practice Guidelines as Topic; *Systematized Nomenclature of Medicine; *Terminology as Topic,1,,,Vocabulary,,
198,Choi,2016,Studies in health technology and informatics,Exploration of Risk Factors for Falls Using Electronic Nursing Records,"INTRODUCTION: The purpose was to identify fall risk factors between admission day and fall occurred day using electronic nursing records and the Morse Fall Scale (MFS). METHODS: The MFS and fall related data were obtained through retrospective chart review from June 1, 2014 to May 31, 2015. Descriptive statistics and McNemar test were used for statistical tests. RESULTS: Fall was evaluated in 447 events, 16 patients experienced recurrent fall. Pain, emotional distress, urinary problems and fever were significant differences between admission day and fall occurred day. There were explored significant MFS risk factors in risk group, history of falling, second diagnosis, IV catheter status, medication concerning fall risk, mental status, general weakness and gait in MFS subscales. DISCUSSION: Routine fall screening is important for early detection of fall. Identification of high-risk group and using fall prevention guidelines could improve prevention of fall.", Accidental Falls/*prevention & control/*statistics & numerical data; Data Mining/*methods; Electronic Health Records/*statistics & numerical data; Female; Humans; Male; Nursing Care/statistics & numerical data; Nursing Records/*statistics & numerical data; Population Surveillance/*methods; Prevalence; Republic of Korea/epidemiology; Risk Factors,-2,,,,,
