ID,Authors,Year,Journal,Title,Abstract,Keywords,Decision1,Decision2,label
52,Faust,2018,BMC bioinformatics,Visualizing histopathologic deep learning classification and anomaly detection using nonlinear feature space dimensionality reduction,"BACKGROUND: There is growing interest in utilizing artificial intelligence, and particularly deep learning, for computer vision in histopathology. While accumulating studies highlight expert-level performance of convolutional neural networks (CNNs) on focused classification tasks, most studies rely on probability distribution scores with empirically defined cutoff values based on post-hoc analysis. More generalizable tools that allow humans to visualize histology-based deep learning inferences and decision making are scarce. RESULTS: Here, we leverage t-distributed Stochastic Neighbor Embedding (t-SNE) to reduce dimensionality and depict how CNNs organize histomorphologic information. Unique to our workflow, we develop a quantitative and transparent approach to visualizing classification decisions prior to softmax compression. By discretizing the relationships between classes on the t-SNE plot, we show we can super-impose randomly sampled regions of test images and use their distribution to render statistically-driven classifications. Therefore, in addition to providing intuitive outputs for human review, this visual approach can carry out automated and objective multi-class classifications similar to more traditional and less-transparent categorical probability distribution scores. Importantly, this novel classification approach is driven by a priori statistically defined cutoffs. It therefore serves as a generalizable classification and anomaly detection tool less reliant on post-hoc tuning. CONCLUSION: Routine incorporation of this convenient approach for quantitative visualization and error reduction in histopathology aims to accelerate early adoption of CNNs into generalized real-world applications where unanticipated and previously untrained classes are often encountered.", *Artificial intelligence; *Cancer; *Convolutional neural networks; *Deep learning; *Diagnostics; *Digital pathology; *Glioblastoma; *Machine learning; *Neuropathology; *t-SNE,-2,-2,
53,Kumar,2018,PloS one,Automated and real-time segmentation of suspicious breast masses using convolutional neural network,"In this work, a computer-aided tool for detection was developed to segment breast masses from clinical ultrasound (US) scans. The underlying Multi U-net algorithm is based on convolutional neural networks. Under the Mayo Clinic Institutional Review Board protocol, a prospective study of the automatic segmentation of suspicious breast masses was performed. The cohort consisted of 258 female patients who were clinically identified with suspicious breast masses and underwent clinical US scan and breast biopsy. The computer-aided detection tool effectively segmented the breast masses, achieving a mean Dice coefficient of 0.82, a true positive fraction (TPF) of 0.84, and a false positive fraction (FPF) of 0.01. By avoiding positioning of an initial seed, the algorithm is able to segment images in real time (13-55 ms per image), and can have potential clinical applications. The algorithm is at par with a conventional seeded algorithm, which had a mean Dice coefficient of 0.84 and performs significantly better (P< 0.0001) than the original U-net algorithm."," Adult; Aged; Aged, 80 and over; Algorithms; Breast/*diagnostic imaging; Breast Neoplasms/*diagnostic imaging; Carcinoma, Ductal, Breast/diagnostic imaging; Carcinoma, Intraductal, Noninfiltrating/diagnostic imaging; Carcinoma, Lobular/diagnostic imaging; Female; Humans; Image Processing, Computer-Assisted/*methods; Mammography/methods; Middle Aged; *Neural Networks (Computer); *Pattern Recognition, Automated; Prospective Studies; Ultrasonography, Mammary/methods; Young Adult",-2,-2,
54,Shen,2018,Journal of medical Internet research,Effectiveness of Internet-Based Interventions on Glycemic Control in Patients With Type 2 Diabetes: Meta-Analysis of Randomized Controlled Trials,"BACKGROUND: The popularity of internet as an area of research has grown manifold over the years. Given its rapid development and increasing coverage worldwide, internet-based interventions seem to offer a promising option to ameliorate huge burdens brought by type 2 diabetes mellitus. However, studies conducted by different researchers have provided contradictory results on the effect of internet-based interventions in glycemic control. OBJECTIVE: This meta-analysis aims to summarize currently available evidence and evaluate the overall impact of internet-based interventions on glycemic management of type 2 diabetic patients. METHODS: A systematic literature search was performed in PubMed, ScienceDirect, and Web of Science. Randomized controlled trials that used glycosylated hemoglobin values as the outcome measure of glycemic control were considered. Risk of bias and publication bias were evaluated. RESULTS: Of the 492 studies, 35 were included in meta-analysis, and results indicated that the weighted mean difference (WMD) between usual care and internet-based interventions at endpoint was -0.426% (95% CI -0.540 to -0.312; P<.001). Subgroup analyses revealed that intervention duration </=3 months yielded optimal performance (WMD -0.51%; 95% CI -0.71 to -0.31; P<.001). Combined mobile and website interventions were substantially superior to solely Web-based and mobile-based interventions in glycemic control (combined WMD -0.77%, 95% CI -1.07 to -0.47; P<.001; Web only: WMD -0.48%; 95% CI -0.71 to -0.24, P<.001; mobile only WMD -0.31%, 95% CI -0.49 to -0.14; P<.001). Furthermore, the effect of interventions with automated feedbacks was similar to those with manual feedbacks, and studies with internet-based educational contents were more effective in glycemic control. The assessment revealed a low risk of bias. CONCLUSIONS: In conclusion, utilization of internet-based intervention is beneficial for patients with type 2 diabetes mellitus, and taking full advantage of this type of intervention may substantially reduce the incidence of complications and improve quality of life. TRIAL REGISTRATION: International Prospective Register of Systematic Reviews (PROSPERO): CRD42017058032; https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=58032 (Archived by WebCite at http://www.webcitation.org/6yY7eQNHr).", HbA1c; internet; meta-analysis; randomized controlled trial; type 2 diabetes mellitus,-2,-2,
55,Denecke,2018,Studies in health technology and informatics,Facilitating the Information Exchange Using a Modular Electronic Discharge Summary,"BACKGROUND: Discharge summaries are a standard communication tool delivering important clinical information from inpatient to ambulatory care. To ensure a high quality, correctness and completeness, the generation process is time consuming. It requires also contributions of multiple persons. This is problematic since the primary care provider needs the information from the discharge summary for continuing the intended treatment. To address this challenge, we developed a concept for exchanging a modular electronic discharge summary. METHODS: Through a literature review and interviews with multiple stakeholders, we analysed existing processes and derived requirements for an improved communication of the discharge summary. RESULTS: In this paper, we suggest a concept of a modular electronic discharge summary that is exchanged through the electronic patient dossier in CDA CH level 2 documents. Until 2020, all Swiss hospitals are obliged to connect to the electronic patient dossier. Our concept allows to access already completed modules of the discharge summary from the primary care side, before the entire report is entirely finalised. The data is automatically merged with the local patient record on the physician side and prepared for data integration into the practice information system. CONCLUSION: Our concept offers the opportunity not only to improve the information exchange between hospital and primary care, but it also provides a potential use case and demonstrates a benefit of the electronic patient dossier for primary care providers who are so far not obliged to connect to the patient dossier in Switzerland.", Communication; *Electronic Health Records; Humans; *Information Systems; *Patient Discharge; Switzerland; Discharge summary; Electronic health record; Electronic patient record; Information exchange; Medical documentation; Transition of care,-2,-1,
56,Tso,2018,PloS one,"The ""social brain"" is highly sensitive to the mere presence of social information: An automated meta-analysis and an independent study","How the human brain processes social information is an increasingly researched topic in psychology and neuroscience, advancing our understanding of basic human cognition and psychopathologies. Neuroimaging studies typically seek to isolate one specific aspect of social cognition when trying to map its neural substrates. It is unclear if brain activation elicited by different social cognitive processes and task instructions are also spontaneously elicited by general social information. In this study, we investigated whether these brain regions are evoked by the mere presence of social information using an automated meta-analysis and confirmatory data from an independent study of simple appraisal of social vs. non-social images. Results of 1,000 published fMRI studies containing the keyword of ""social"" were subject to an automated meta-analysis (http://neurosynth.org). To confirm that significant brain regions in the meta-analysis were driven by a social effect, these brain regions were used as regions of interest (ROIs) to extract and compare BOLD fMRI signals of social vs. non-social conditions in the independent study. The NeuroSynth results indicated that the dorsal and ventral medial prefrontal cortex, posterior cingulate cortex, bilateral amygdala, bilateral occipito-temporal junction, right fusiform gyrus, bilateral temporal pole, and right inferior frontal gyrus are commonly engaged in studies with a prominent social element. The social-non-social contrast in the independent study showed a strong resemblance to the NeuroSynth map. ROI analyses revealed that a social effect was credible in 9 out of the 11 NeuroSynth regions in the independent dataset. The findings support the conclusion that the ""social brain"" is highly sensitive to the mere presence of social information.", Adult; Brain/*physiology; Brain Mapping; Cognition/*physiology; Female; Humans; Interpersonal Relations; Magnetic Resonance Imaging; Male; Middle Aged; *Social Behavior; Social Change; Social Conditions; Theory of Mind/physiology; Young Adult,-2,1,
57,Tsafnat,2018,Systematic reviews,Automated screening of research studies for systematic reviews using study characteristics,"BACKGROUND: Screening candidate studies for inclusion in a systematic review is time-consuming when conducted manually. Automation tools could reduce the human effort devoted to screening. Existing methods use supervised machine learning which train classifiers to identify relevant words in the abstracts of candidate articles that have previously been labelled by a human reviewer for inclusion or exclusion. Such classifiers typically reduce the number of abstracts requiring manual screening by about 50%. METHODS: We extracted four key characteristics of observational studies (population, exposure, confounders and outcomes) from the text of titles and abstracts for all articles retrieved using search strategies from systematic reviews. Our screening method excluded studies if they did not meet a predefined set of characteristics. The method was evaluated using three systematic reviews. Screening results were compared to the actual inclusion list of the reviews. RESULTS: The best screening threshold rule identified studies that mentioned both exposure (E) and outcome (O) in the study abstract. This screening rule excluded 93.7% of retrieved studies with a recall of 98%. CONCLUSIONS: Filtering studies for inclusion in a systematic review based on the detection of key study characteristics in abstracts significantly outperformed standard approaches to automated screening and appears worthy of further development and evaluation.", Automation of systematic reviews; Evidence screening; Study characterisation; Study selection,2,2,
58,Al-Saffar,2018,PloS one,Malay sentiment analysis based on combined classification approaches and Senti-lexicon algorithm,"Sentiment analysis techniques are increasingly exploited to categorize the opinion text to one or more predefined sentiment classes for the creation and automated maintenance of review-aggregation websites. In this paper, a Malay sentiment analysis classification model is proposed to improve classification performances based on the semantic orientation and machine learning approaches. First, a total of 2,478 Malay sentiment-lexicon phrases and words are assigned with a synonym and stored with the help of more than one Malay native speaker, and the polarity is manually allotted with a score. In addition, the supervised machine learning approaches and lexicon knowledge method are combined for Malay sentiment classification with evaluating thirteen features. Finally, three individual classifiers and a combined classifier are used to evaluate the classification accuracy. In experimental results, a wide-range of comparative experiments is conducted on a Malay Reviews Corpus (MRC), and it demonstrates that the feature extraction improves the performance of Malay sentiment analysis based on the combined classification. However, the results depend on three factors, the features, the number of features and the classification approach."," *Algorithms; Attitude/*ethnology; Attitude to Computers; *Emotions; Humans; Knowledge; *Language; *Machine Learning/classification; Malaysia; Models, Theoretical; *Semantics; Social Media; Supervised Machine Learning/classification; User-Computer Interface",-2,1,
59,Maranhao,2018,Studies in health technology and informatics,Challenges in Design and Creation of Genetic openEHR-Archetype,"Since the Human Genomic Project discovered the sequencing of human genome, the interest about genome content in clinical practice has increased. Genetic information has become a key point to understand diseases or improve treatments, for example, the nutrigenomic and nutrigenetics. However, the huge amount of data generated raises the need for Electronic Health Record (EHR) improvements as it becomes increasingly necessary that it includes more specific genetic information. Thus, we aim to propose standard genetic archetypes (in openEHR) and describe our main challenges in this context. We assessed 2 bibliographical databases (Pubmed and Web of science) to determine the main clinical statements needed to create the archetypes. The clinical statements were organized in archetype-concepts, and they were created in openEHR archetype editor. One archetype - genetic test results - was created from a set of genetic data and submitted to CKM repository for review. Based on the modeled archetypes, an openEHR template can be created from the proposed archetype, mainly in the nutrigenomic area, genetic labs and others related to genetic.", *Data Mining; *Electronic Health Records; *Genomics; Humans; Semantics; Archetype; Electronic Health Record; Genetics; Nutrition; openEHR,-2,-1,
60,Williams,2018,Studies in health technology and informatics,Process Mining in Primary Care: A Literature Review,"Process mining is the discipline of discovering processes from event logs, checking the conformance of real world events to idealized processes, and ultimately finding ways to improve those processes. It was originally applied to business processes and has recently been applied to healthcare. It can reveal insights into clinical care pathways and inform the redesign of healthcare services. We reviewed the literature on process mining, to investigate the extent to which process mining has been applied to primary care, and to identify specific challenges that may arise in this setting. We identified 143 relevant papers, of which only a small minority (n=7) focused on primary care settings. Reported challenges included data quality (consistency and completeness of routinely collected data); selection of appropriate algorithms and tools; presentation of results; and utilization of results in real-world applications.", Algorithms; *Critical Pathways; Data Accuracy; Data Mining; Humans; *Primary Health Care; Process mining; care pathways; primary care; workflow,-2,1,
61,Mehta,2018,International journal of medical informatics,Concurrence of big data analytics and healthcare: A systematic review,"BACKGROUND: The application of Big Data analytics in healthcare has immense potential for improving the quality of care, reducing waste and error, and reducing the cost of care. PURPOSE: This systematic review of literature aims to determine the scope of Big Data analytics in healthcare including its applications and challenges in its adoption in healthcare. It also intends to identify the strategies to overcome the challenges. DATA SOURCES: A systematic search of the articles was carried out on five major scientific databases: ScienceDirect, PubMed, Emerald, IEEE Xplore and Taylor & Francis. The articles on Big Data analytics in healthcare published in English language literature from January 2013 to January 2018 were considered. STUDY SELECTION: Descriptive articles and usability studies of Big Data analytics in healthcare and medicine were selected. DATA EXTRACTION: Two reviewers independently extracted information on definitions of Big Data analytics; sources and applications of Big Data analytics in healthcare; challenges and strategies to overcome the challenges in healthcare. RESULTS: A total of 58 articles were selected as per the inclusion criteria and analyzed. The analyses of these articles found that: (1) researchers lack consensus about the operational definition of Big Data in healthcare; (2) Big Data in healthcare comes from the internal sources within the hospitals or clinics as well external sources including government, laboratories, pharma companies, data aggregators, medical journals etc.; (3) natural language processing (NLP) is most widely used Big Data analytical technique for healthcare and most of the processing tools used for analytics are based on Hadoop; (4) Big Data analytics finds its application for clinical decision support; optimization of clinical operations and reduction of cost of care (5) major challenge in adoption of Big Data analytics is non-availability of evidence of its practical benefits in healthcare. CONCLUSION: This review study unveils that there is a paucity of information on evidence of real-world use of Big Data analytics in healthcare. This is because, the usability studies have considered only qualitative approach which describes potential benefits but does not take into account the quantitative study. Also, majority of the studies were from developed countries which brings out the need for promotion of research on Healthcare Big Data analytics in developing countries.", Analytics; Big data; Evidence-based medicine; Healthcare; Predictive analytics,-2,-1,
62,Araujo,2018,PloS one,Parametric model fitting-based approach for retinal blood vessel caliber estimation in eye fundus images,"BACKGROUND: Changes in the retinal vessel caliber are associated with a variety of major diseases, namely diabetes, hypertension and atherosclerosis. The clinical assessment of these changes in fundus images is tiresome and prone to errors and thus automatic methods are desirable for objective and precise caliber measurement. However, the variability of blood vessel appearance, image quality and resolution make the development of these tools a non-trivial task. METHOLODOGY: A method for the estimation of vessel caliber in eye fundus images via vessel cross-sectional intensity profile model fitting is herein proposed. First, the vessel centerlines are determined and individual segments are extracted and smoothed by spline approximation. Then, the corresponding cross-sectional intensity profiles are determined, post-processed and ultimately fitted by newly proposed parametric models. These models are based on Difference-of-Gaussians (DoG) curves modified through a multiplying line with varying inclination. With this, the proposed models can describe profile asymmetry, allowing a good adjustment to the most difficult profiles, namely those showing central light reflex. Finally, the parameters of the best-fit model are used to determine the vessel width using ensembles of bagged regression trees with random feature selection. RESULTS AND CONCLUSIONS: The performance of our approach is evaluated on the REVIEW public dataset by comparing the vessel cross-sectional profile fitting of the proposed modified DoG models with 7 and 8 parameters against a Hermite model with 6 parameters. Results on different goodness of fitness metrics indicate that our models are constantly better at fitting the vessel profiles. Furthermore, our width measurement algorithm achieves a precision close to the observers, outperforming state-of-the art methods, and retrieving the highest precision when evaluated using cross-validation. This high performance supports the robustness of the algorithm and validates its use in retinal vessel width measurement and possible integration in a system for retinal vasculature assessment."," Algorithms; Databases, Factual; *Fundus Oculi; Humans; *Image Processing, Computer-Assisted/methods; *Models, Theoretical; Reproducibility of Results; Retinal Vessels/*diagnostic imaging",-2,-2,
63,Yang,2018,PloS one,A Kriging based spatiotemporal approach for traffic volume data imputation,"Along with the rapid development of Intelligent Transportation Systems, traffic data collection technologies have progressed fast. The emergence of innovative data collection technologies such as remote traffic microwave sensor, Bluetooth sensor, GPS-based floating car method, and automated license plate recognition, has significantly increased the variety and volume of traffic data. Despite the development of these technologies, the missing data issue is still a problem that poses great challenge for data based applications such as traffic forecasting, real-time incident detection, dynamic route guidance, and massive evacuation optimization. A thorough literature review suggests most current imputation models either focus on the temporal nature of the traffic data and fail to consider the spatial information of neighboring locations or assume the data follow a certain distribution. These two issues reduce the imputation accuracy and limit the use of the corresponding imputation methods respectively. As a result, this paper presents a Kriging based data imputation approach that is able to fully utilize the spatiotemporal correlation in the traffic data and that does not assume the data follow any distribution. A set of scenarios with different missing rates are used to evaluate the performance of the proposed method. The performance of the proposed method was compared with that of two other widely used methods, historical average and K-nearest neighborhood. Comparison results indicate that the proposed method has the highest imputation accuracy and is more flexible compared to other methods."," Algorithms; Humans; *Models, Theoretical; *Spatio-Temporal Analysis; *Transportation",-2,-2,
64,Rat,2018,Journal of medical Internet research,Use of Smartphones for Early Detection of Melanoma: Systematic Review,"BACKGROUND: The early diagnosis of melanoma is associated with decreased mortality. The smartphone, with its apps and the possibility of sending photographs to a dermatologist, could improve the early diagnosis of melanoma. OBJECTIVE: The aim of our review was to report the evidence on (1) the diagnostic performance of automated smartphone apps and store-and-forward teledermatology via a smartphone in the early detection of melanoma, (2) the impact on the patient's medical-care course, and (3) the feasibility criteria (focusing on the modalities of picture taking, transfer of data, and time to get a reply). METHODS: We conducted a systematic search of PubMed for the period from January 1, 2007 (launch of the first smartphone) to November 1, 2017. RESULTS: The results of the 25 studies included 13 concentrated on store-and-forward teledermatology, and 12 analyzed automated smartphone apps. Store-and-forward teledermatology opens several new perspectives, such as it accelerates the care course (less than 10 days vs 80 days), and the related procedures were assessed in primary care populations. However, the concordance between the conclusion of a teledermatologist and the conclusion of a dermatologist who conducts a face-to-face examination depended on the study (the kappa coefficient range was .20 to .84, median kappa=.60). The use of a dermoscope may improve the concordance (the kappa coefficient range was .29 to .87, median kappa=.74). Regarding automated smartphone apps, the major concerns are the lack of assessment in clinical practice conditions, the lack of assessment in primary care populations, and their low sensitivity, ranging from 7% to 87% (median 69%). In this literature review, up to 20% of the photographs transmitted were of insufficient quality. The modalities of picture taking and encryption of the data were only partially reported. CONCLUSIONS: The use of store-and-forward teledermatology could improve access to a dermatology consultation by optimizing the care course. Our review confirmed the absence of evidence of the safety and efficacy of automated smartphone medical apps. Further research is required to determine quality criteria, as there was major variability among the studies.", melanoma; mobile app; screening; smartphone; teledermatology; telemedicine,-2,-2,
65,Wang,2018,Journal of the American Medical Informatics Association : JAMIA,Toward a normalized clinical drug knowledge base in China-applying the RxNorm model to Chinese clinical drugs,"Objective: In recent years, electronic health record systems have been widely implemented in China, making clinical data available electronically. However, little effort has been devoted to making drug information exchangeable among these systems. This study aimed to build a Normalized Chinese Clinical Drug (NCCD) knowledge base, by applying and extending the information model of RxNorm to Chinese clinical drugs. Methods: Chinese drugs were collected from 4 major resources-China Food and Drug Administration, China Health Insurance Systems, Hospital Pharmacy Systems, and China Pharmacopoeia-for integration and normalization in NCCD. Chemical drugs were normalized using the information model in RxNorm without much change. Chinese patent drugs (i.e., Chinese herbal extracts), however, were represented using an expanded RxNorm model to incorporate the unique characteristics of these drugs. A hybrid approach combining automated natural language processing technologies and manual review by domain experts was then applied to drug attribute extraction, normalization, and further generation of drug names at different specification levels. Lastly, we reported the statistics of NCCD, as well as the evaluation results using several sets of randomly selected Chinese drugs. Results: The current version of NCCD contains 16 976 chemical drugs and 2663 Chinese patent medicines, resulting in 19 639 clinical drugs, 250 267 unique concepts, and 2 602 760 relations. By manual review of 1700 chemical drugs and 250 Chinese patent drugs randomly selected from NCCD (about 10%), we showed that the hybrid approach could achieve an accuracy of 98.60% for drug name extraction and normalization. Using a collection of 500 chemical drugs and 500 Chinese patent drugs from other resources, we showed that NCCD achieved coverages of 97.0% and 90.0% for chemical drugs and Chinese patent drugs, respectively. Conclusion: Evaluation results demonstrated the potential to improve interoperability across various electronic drug systems in China.", ,-2,-2,
66,Abdellaoui,2018,Journal of medical Internet research,Detection of Cases of Noncompliance to Drug Treatment in Patient Forum Posts: Topic Model Approach,"BACKGROUND: Medication nonadherence is a major impediment to the management of many health conditions. A better understanding of the factors underlying noncompliance to treatment may help health professionals to address it. Patients use peer-to-peer virtual communities and social media to share their experiences regarding their treatments and diseases. Using topic models makes it possible to model themes present in a collection of posts, thus to identify cases of noncompliance. OBJECTIVE: The aim of this study was to detect messages describing patients' noncompliant behaviors associated with a drug of interest. Thus, the objective was the clustering of posts featuring a homogeneous vocabulary related to nonadherent attitudes. METHODS: We focused on escitalopram and aripiprazole used to treat depression and psychotic conditions, respectively. We implemented a probabilistic topic model to identify the topics that occurred in a corpus of messages mentioning these drugs, posted from 2004 to 2013 on three of the most popular French forums. Data were collected using a Web crawler designed by Kappa Sante as part of the Detec't project to analyze social media for drug safety. Several topics were related to noncompliance to treatment. RESULTS: Starting from a corpus of 3650 posts related to an antidepressant drug (escitalopram) and 2164 posts related to an antipsychotic drug (aripiprazole), the use of latent Dirichlet allocation allowed us to model several themes, including interruptions of treatment and changes in dosage. The topic model approach detected cases of noncompliance behaviors with a recall of 98.5% (272/276) and a precision of 32.6% (272/844). CONCLUSIONS: Topic models enabled us to explore patients' discussions on community websites and to identify posts related with noncompliant behaviors. After a manual review of the messages in the noncompliance topics, we found that noncompliance to treatment was present in 6.17% (276/4469) of the posts.", compliance; depression; infodemiology; medication adherence; peer-to-peer support; psychosis; social media; text mining; virtual community,-2,-2,
67,Gates,2018,Systematic reviews,Technology-assisted title and abstract screening for systematic reviews: a retrospective evaluation of the Abstrackr machine learning tool,"BACKGROUND: Machine learning tools can expedite systematic review (SR) processes by semi-automating citation screening. Abstrackr semi-automates citation screening by predicting relevant records. We evaluated its performance for four screening projects. METHODS: We used a convenience sample of screening projects completed at the Alberta Research Centre for Health Evidence, Edmonton, Canada: three SRs and one descriptive analysis for which we had used SR screening methods. The projects were heterogeneous with respect to search yield (median 9328; range 5243 to 47,385 records; interquartile range (IQR) 15,688 records), topic (Antipsychotics, Bronchiolitis, Diabetes, Child Health SRs), and screening complexity. We uploaded the records to Abstrackr and screened until it made predictions about the relevance of the remaining records. Across three trials for each project, we compared the predictions to human reviewer decisions and calculated the sensitivity, specificity, precision, false negative rate, proportion missed, and workload savings. RESULTS: Abstrackr's sensitivity was > 0.75 for all projects and the mean specificity ranged from 0.69 to 0.90 with the exception of Child Health SRs, for which it was 0.19. The precision (proportion of records correctly predicted as relevant) varied by screening task (median 26.6%; range 14.8 to 64.7%; IQR 29.7%). The median false negative rate (proportion of records incorrectly predicted as irrelevant) was 12.6% (range 3.5 to 21.2%; IQR 12.3%). The workload savings were often large (median 67.2%, range 9.5 to 88.4%; IQR 23.9%). The proportion missed (proportion of records predicted as irrelevant that were included in the final report, out of the total number predicted as irrelevant) was 0.1% for all SRs and 6.4% for the descriptive analysis. This equated to 4.2% (range 0 to 12.2%; IQR 7.8%) of the records in the final reports. CONCLUSIONS: Abstrackr's reliability and the workload savings varied by screening task. Workload savings came at the expense of potentially missing relevant records. How this might affect the results and conclusions of SRs needs to be evaluated. Studies evaluating Abstrackr as the second reviewer in a pair would be of interest to determine if concerns for reliability would diminish. Further evaluations of Abstrackr's performance and usability will inform its refinement and practical utility.", *Automation; *Machine learning; *Methodology; *Systematic review,2,2,
68,Ruano,2018,Systematic reviews,Evaluating characteristics of PROSPERO records as predictors of eventual publication of non-Cochrane systematic reviews: a meta-epidemiological study protocol,"BACKGROUND: Epidemiology and the reporting characteristics of systematic reviews (SRs) and meta-analyses (MAs) are well known. However, no study has analyzed the influence of protocol features on the probability that a study's results will be finally reported, thereby indirectly assessing the reporting bias of International Prospective Register of Systematic Reviews (PROSPERO) registration records. OBJECTIVE: The objective of this study is to explore which factors are associated with a higher probability that results derived from a non-Cochrane PROSPERO registration record for a systematic review will be finally reported as an original article in a scientific journal. METHODS/DESIGN: The PROSPERO repository will be web scraped to automatically and iteratively obtain all completed non-Cochrane registration records stored from February 2011 to December 2017. Downloaded records will be screened, and those with less than 90% fulfilled or are duplicated (i.e., those sharing titles and reviewers) will be excluded. Manual and human-supervised automatic methods will be used for data extraction, depending on the data source (fields of PROSPERO registration records, bibliometric databases, etc.). Records will be classified into published, discontinued, and abandoned review subgroups. All articles derived from published reviews will be obtained through multiple parallel searches using the full protocol ""title"" and/or ""list reviewers"" in MEDLINE/PubMed databases and Google Scholar. Reviewer, author, article, and journal metadata will be obtained using different sources. R and Python programming and analysis languages will be used to describe the datasets; perform text mining, machine learning, and deep learning analyses; and visualize the data. We will report the study according to the recommendations for meta-epidemiological studies adapted from the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement for SRs and MAs. DISCUSSION: This meta-epidemiological study will explore, for the first time, characteristics of PROSPERO records that may be associated with the publication of a completed systematic review. The evidence may help to improve review workflow performance in terms of research topic selection, decision-making regarding team selection, planning relationships with funding sources, implementing literature search strategies, and efficient data extraction and analysis. We expect to make our results, datasets, and R and Python code scripts publicly available during the third quarter of 2018.", *Deep learning; *Meta-epidemiology; *Prospero; *Predictive models; *Systematic review protocols; *Web scraping,1,-1,
69,Adroher,2018,PloS one,"All metrics are equal, but some metrics are more equal than others: A systematic search and review on the use of the term 'metric'","OBJECTIVE: To examine the use of the term 'metric' in health and social sciences' literature, focusing on the interval scale implication of the term in Modern Test Theory (MTT). MATERIALS AND METHODS: A systematic search and review on MTT studies including 'metric' or 'interval scale' was performed in the health and social sciences literature. The search was restricted to 2001-2005 and 2011-2015. A Text Mining algorithm was employed to operationalize the eligibility criteria and to explore the uses of 'metric'. The paradigm of each included article (Rasch Measurement Theory (RMT), Item Response Theory (IRT) or both), as well as its type (Theoretical, Methodological, Teaching, Application, Miscellaneous) were determined. An inductive thematic analysis on the first three types was performed. RESULTS: 70.6% of the 1337 included articles were allocated to RMT, and 68.4% were application papers. Among the number of uses of 'metric', it was predominantly a synonym of 'scale'; as adjective, it referred to measurement or quantification. Three incompatible themes 'only RMT/all MTT/no MTT models can provide interval measures' were identified, but 'interval scale' was considerably more mentioned in RMT than in IRT. CONCLUSION: 'Metric' is used in many different ways, and there is no consensus on which MTT metric has interval scale properties. Nevertheless, when using the term 'metric', the authors should specify the level of the metric being used (ordinal, ordered, interval, ratio), and justify why according to them the metric is at that level.", Data Mining; Humans; Research; *Statistics as Topic; *Terminology as Topic,-2,-1,
70,Piza,2018,International journal of medical informatics,Assessing team effectiveness and affective learning in a datathon,"BACKGROUND: Datathons are increasingly organized in the healthcare field. The goal is to assemble people with different backgrounds to work together as a team and engage in clinically relevant research or develop algorithms using health-related datasets. Criteria to assess the return of investment on such events have traditionally included publications produced, patents for prediction, classification, image recognition and other types of software, and start-up companies around the application of machine learning in healthcare. Previous studies have not evaluated whether a datathon can promote affective learning and effective teamwork. METHODS: Fifty participants of a health datathon event in Sao Paulo, Brazil at Hospital Israelita Albert Einstein (HIAE) were divided into 8 groups. A survey with 25 questions, using the Affective Learning Scale and Team-Review Questionnaire, was administered to assess team effectiveness and affective learning during the event. Multivariate regression models and Pearson's correlation tests were performed to evaluate the effect of affective learning on teamwork. RESULTS: Majority of the participants were male 76% (37/49); 32% (16/49) were physicians. The mean score for learning (scale from 1 to 10) was 8.38, while that for relevance of the perceived teamwork was 1.20 (scale from 1 to 5; ""1"" means most relevant). Pearson's correlation between the learning score and perception of teamwork showed moderate association (r=0.36, p=0.009). Five learning and 10 teamwork variables were on average positively graded in the event. The final regression model includes all learning and teamwork variables. Effective leadership was strongly correlated with affective learning (beta=-0.27, p<0.01, R(2)=75%). Effective leadership, team accomplishment, criticism, individual development and creativity were the variables significantly associated with higher levels of affective learning. CONCLUSION: It is feasible to enhance affective knowledge and the skill to work in a team during a datathon. We found that teamwork is associated with higher affective learning from participants' perspectives. Effective leadership is essential for teamwork and is a significant predictor of learning.", Affective learning; Datathon; Effective leadership; Hackathon; Team effectiveness,-2,-2,
